Datetime,Area ID,Area Boss,Remain Count,Capture Type,Capture Status,Sangvis ID,Sangvis Rank,Sangvis Name
2022-11-15 11:30:52,20,Architect,37,SVAROG,O,3006,?,Dinergate
2022-11-15 11:30:53,20,Architect,36,SVAROG,O,3003,?,Guard
2022-11-15 11:30:55,20,Architect,35,SVAROG,O,3007,?,Scout
2022-11-15 11:30:56,20,Architect,34,SVAROG,O,3009,?,Jaguar
2022-11-15 11:30:58,20,Architect,33,SVAROG,O,3001,?,Ripper
2022-11-15 11:30:59,20,Architect,32,SVAROG,O,3006,?,Dinergate
2022-11-15 11:31:01,20,Architect,31,SVAROG,O,3004,?,Jaeger
2022-11-15 11:31:03,20,Architect,30,SVAROG,O,3006,?,Dinergate
2022-11-15 11:31:05,20,Architect,29,SVAROG,O,3007,?,Scout
2022-11-15 11:31:07,20,Architect,28,SVAROG,O,3003,?,Guard
2022-11-15 11:31:08,20,Architect,27,SVAROG,O,3009,?,Jaguar
2022-11-15 11:31:11,20,Architect,26,SVAROG,O,3010,?,Goliath Factory
2022-11-15 11:32:23,20,Architect,25,SVAROG,O,3010,?,Goliath Factory
2022-11-15 11:32:25,20,Architect,24,SVAROG,O,3006,?,Dinergate
2022-11-15 11:32:27,20,Architect,23,SVAROG,O,2014,??,Aegis_SWAP
2022-11-15 11:32:28,20,Architect,22,SVAROG,O,3009,?,Jaguar
2022-11-15 11:32:30,20,Architect,21,SVAROG,O,3005,?,Striker
2022-11-15 11:32:32,20,Architect,20,SVAROG,O,3001,?,Ripper
2022-11-15 11:32:33,20,Architect,19,SVAROG,O,3009,?,Jaguar
2022-11-15 11:32:35,20,Architect,18,SVAROG,O,3007,?,Scout
2022-11-15 11:32:37,20,Architect,17,SVAROG,O,2014,??,Aegis_SWAP
2022-11-15 11:32:39,20,Architect,16,SVAROG,O,2004,??,Nemeum
2022-11-15 11:32:40,20,Architect,15,SVAROG,O,2003,??,Aegis
2022-11-15 11:32:42,20,Architect,14,SVAROG,O,2015,??,Jaeger SWAP
2022-11-15 11:32:44,20,Architect,13,SVAROG,O,2015,??,Jaeger SWAP
2022-11-15 11:32:46,20,Architect,12,SVAROG,O,3005,?,Striker
2022-11-15 11:32:48,20,Architect,11,SVAROG,O,2001,??,Brute
2022-11-15 11:32:50,20,Architect,10,SVAROG,O,3010,?,Goliath Factory
2022-11-15 11:32:51,20,Architect,9,SVAROG,O,3008,?,Prowler
2022-11-15 11:41:41,20,Architect,8,SVAROG,O,1006,???,Architect
2022-11-15 11:42:07,20,Architect,99,SVAROG,O,3010,?,Goliath Factory
2022-11-15 11:42:09,20,Architect,98,SVAROG,O,3009,?,Jaguar
2022-11-15 11:42:10,20,Architect,97,SVAROG,O,2001,??,Brute
2022-11-15 11:42:12,20,Architect,96,SVAROG,O,2002,??,Dragoon
2022-11-15 11:42:14,20,Architect,95,SVAROG,O,3007,?,Scout
2022-11-15 11:42:16,20,Architect,94,SVAROG,O,2003,??,Aegis
2022-11-15 11:42:18,20,Architect,93,SVAROG,O,3008,?,Prowler
2022-11-15 11:42:21,20,Architect,92,SVAROG,O,3006,?,Dinergate
2022-11-15 11:42:23,20,Architect,91,SVAROG,O,2014,??,Aegis_SWAP
2022-11-15 11:42:25,20,Architect,90,SVAROG,O,3010,?,Goliath Factory
2022-11-15 11:42:27,20,Architect,89,SVAROG,O,2001,??,Brute
2022-11-15 11:42:29,20,Architect,88,SVAROG,O,3009,?,Jaguar
2022-11-15 11:42:31,20,Architect,87,SVAROG,O,2006,??,Manticore
2022-11-15 11:42:33,20,Architect,86,SVAROG,O,3008,?,Prowler
2022-11-15 11:42:35,20,Architect,85,SVAROG,O,3001,?,Ripper
2022-11-15 11:42:37,20,Architect,84,SVAROG,O,2001,??,Brute
2022-11-15 11:42:39,20,Architect,83,SVAROG,O,3001,?,Ripper
2022-11-15 11:42:42,20,Architect,82,SVAROG,O,3006,?,Dinergate
2022-11-15 11:42:44,20,Architect,81,SVAROG,O,3010,?,Goliath Factory
2022-11-15 11:43:03,20,Architect,80,SVAROG,O,3003,?,Guard
2022-11-15 11:43:06,20,Architect,79,SVAROG,O,2003,??,Aegis
2022-11-15 11:43:08,20,Architect,78,SVAROG,O,3010,?,Goliath Factory
2022-11-15 11:43:10,20,Architect,77,SVAROG,O,2014,??,Aegis_SWAP
2022-11-15 11:43:12,20,Architect,76,SVAROG,O,3008,?,Prowler
2022-11-15 11:43:14,20,Architect,75,SVAROG,O,3007,?,Scout
2022-11-15 11:43:16,20,Architect,74,SVAROG,O,3003,?,Guard
2022-11-15 11:43:19,20,Architect,73,SVAROG,O,3001,?,Ripper
2022-11-15 11:43:21,20,Architect,72,SVAROG,O,2001,??,Brute
2022-11-15 11:43:23,20,Architect,71,SVAROG,O,1006,???,Architect
2022-11-21 11:30:13,20,Architect,66,PULSE,O,3005,?,Striker
2022-11-21 11:30:26,20,Architect,65,PULSE,O,3002,?,Vespid
2022-11-21 11:30:41,20,Architect,64,PULSE,O,3006,?,Dinergate
2022-11-21 11:30:56,20,Architect,63,PULSE,O,3010,?,Goliath Factory
2022-11-21 11:31:14,20,Architect,62,PULSE,O,3007,?,Scout
2022-11-21 11:31:30,20,Architect,61,PULSE,O,3006,?,Dinergate
2022-11-21 11:31:49,20,Architect,61,PULSE,X,2015,??,Jaeger SWAP
2022-11-27 11:17:36,20,Architect,61,PULSE,X,2014,??,Aegis_SWAP
2022-11-27 11:17:46,20,Architect,60,PULSE,O,2015,??,Jaeger SWAP
2022-11-27 11:18:01,20,Architect,60,PULSE,X,2006,??,Manticore
2022-11-27 11:18:17,20,Architect,60,PULSE,X,2014,??,Aegis_SWAP
2022-12-11 07:44:40,20,Architect,81,PULSE,O,3009,?,Jaguar
2022-12-11 07:44:50,20,Architect,80,PULSE,O,3001,?,Ripper
2022-12-12 07:15:43,20,Architect,79,PULSE,O,3007,?,Scout
2022-12-12 07:15:52,20,Architect,78,PULSE,O,3010,?,Goliath Factory
2022-12-12 07:16:05,20,Architect,77,PULSE,O,3009,?,Jaguar
2022-12-12 07:16:14,20,Architect,76,PULSE,O,3005,?,Striker
2022-12-12 07:16:25,20,Architect,75,PULSE,O,3003,?,Guard
2022-12-12 07:16:43,20,Architect,74,PULSE,O,3009,?,Jaguar
2022-12-12 07:16:59,20,Architect,73,PULSE,O,3006,?,Dinergate
2022-12-12 07:17:13,20,Architect,72,PULSE,O,2001,??,Brute
2022-12-13 07:44:52,21,,99,PULSE,O,3002,?,Vespid
2022-12-13 07:45:00,21,,98,PULSE,O,3006,?,Dinergate
2022-12-13 07:45:07,21,,97,PULSE,O,3002,?,Vespid
2022-12-13 07:45:17,21,,96,PULSE,O,3009,?,Jaguar
2022-12-13 07:45:27,21,,95,PULSE,O,3010,?,Goliath Factory
2022-12-13 07:45:36,21,,94,PULSE,O,3005,?,Striker
2022-12-13 07:45:47,21,,93,PULSE,O,3001,?,Ripper
2022-12-13 07:45:57,21,,92,PULSE,O,3002,?,Vespid
2022-12-13 07:46:06,21,,91,PULSE,O,3001,?,Ripper
2022-12-13 07:46:16,21,,90,PULSE,O,3005,?,Striker
2022-12-13 07:46:33,21,,89,PULSE,O,3007,?,Scout
2022-12-13 07:46:44,21,,88,SVAROG,O,3007,?,Scout
2022-12-13 07:46:44,21,,87,SVAROG,O,3007,?,Scout
2022-12-13 07:46:44,21,,86,SVAROG,O,3006,?,Dinergate
2022-12-13 07:46:44,21,,85,SVAROG,O,3004,?,Jaeger
2022-12-13 07:46:44,21,,84,SVAROG,O,3008,?,Prowler
2022-12-13 07:46:44,21,,83,SVAROG,O,2005,??,Tarantula
2022-12-13 07:46:44,21,,82,SVAROG,O,3009,?,Jaguar
2022-12-13 07:46:44,21,,81,SVAROG,O,3003,?,Guard
2022-12-13 07:46:44,21,,80,SVAROG,O,2009,??,Ripper SWAP
2022-12-13 07:46:44,21,,79,SVAROG,O,1007,???,Ouroboros
2022-12-13 07:47:18,21,,99,PULSE,O,3001,?,Ripper
2022-12-13 07:47:31,21,,98,PULSE,O,3006,?,Dinergate
2022-12-13 07:47:50,21,,97,PULSE,O,3005,?,Striker
2022-12-15 09:03:24,21,Ouroboros,96,PULSE,O,2008,??,Guard_SWAP
2022-12-15 09:03:38,21,Ouroboros,96,PULSE,X,1007,???,Ouroboros
2022-12-16 10:18:06,21,Ouroboros,95,PULSE,O,3006,?,Dinergate
2022-12-19 10:38:43,21,Ouroboros,93,PULSE,O,3008,?,Prowler
2022-12-19 10:38:56,21,Ouroboros,92,PULSE,O,3002,?,Vespid
2022-12-19 10:39:06,21,Ouroboros,91,PULSE,O,3002,?,Vespid
2022-12-20 10:32:12,30,Destroyer - Dashing Reindeer,99,PULSE,O,3010,?,Goliath Factory
2022-12-20 10:32:22,30,Destroyer - Dashing Reindeer,98,PULSE,O,3004,?,Jaeger
2022-12-20 10:32:31,30,Destroyer - Dashing Reindeer,97,PULSE,O,3003,?,Guard
2022-12-20 10:32:48,30,Destroyer - Dashing Reindeer,96,PULSE,O,3005,?,Striker
2022-12-20 10:33:09,30,Destroyer - Dashing Reindeer,95,PULSE,O,3007,?,Scout
2022-12-20 11:20:51,30,Destroyer - Dashing Reindeer,94,SVAROG,O,2002,??,Dragoon
2022-12-20 11:20:51,30,Destroyer - Dashing Reindeer,93,SVAROG,O,3009,?,Jaguar
2022-12-20 11:20:51,30,Destroyer - Dashing Reindeer,92,SVAROG,O,3006,?,Dinergate
2022-12-20 11:20:51,30,Destroyer - Dashing Reindeer,91,SVAROG,O,3003,?,Guard
2022-12-20 11:20:51,30,Destroyer - Dashing Reindeer,90,SVAROG,O,2005,??,Tarantula
2022-12-20 11:20:51,30,Destroyer - Dashing Reindeer,89,SVAROG,O,2008,??,Guard_SWAP
2022-12-20 11:20:51,30,Destroyer - Dashing Reindeer,88,SVAROG,O,2006,??,Manticore
2022-12-20 11:20:51,30,Destroyer - Dashing Reindeer,87,SVAROG,O,3006,?,Dinergate
2022-12-20 11:20:51,30,Destroyer - Dashing Reindeer,86,SVAROG,O,2003,??,Aegis
2022-12-20 11:20:51,30,Destroyer - Dashing Reindeer,85,SVAROG,O,2016,??,Gingerbread Guard
2022-12-20 12:24:01,30,Destroyer - Dashing Reindeer,84,PULSE,O,3009,?,Jaguar
2022-12-20 12:24:10,30,Destroyer - Dashing Reindeer,83,PULSE,O,3009,?,Jaguar
2022-12-20 12:24:18,30,Destroyer - Dashing Reindeer,82,PULSE,O,3008,?,Prowler
2022-12-20 12:24:29,30,Destroyer - Dashing Reindeer,81,PULSE,O,3007,?,Scout
2022-12-20 12:24:39,30,Destroyer - Dashing Reindeer,80,SVAROG,O,3001,?,Ripper
2022-12-20 12:24:39,30,Destroyer - Dashing Reindeer,79,SVAROG,O,3007,?,Scout
2022-12-20 12:24:39,30,Destroyer - Dashing Reindeer,78,SVAROG,O,3005,?,Striker
2022-12-20 12:24:39,30,Destroyer - Dashing Reindeer,77,SVAROG,O,3008,?,Prowler
2022-12-20 12:24:39,30,Destroyer - Dashing Reindeer,76,SVAROG,O,2005,??,Tarantula
2022-12-20 12:24:39,30,Destroyer - Dashing Reindeer,75,SVAROG,O,2003,??,Aegis
2022-12-20 12:24:39,30,Destroyer - Dashing Reindeer,74,SVAROG,O,3006,?,Dinergate
